sat[1]	-4965097.98738	4617971.20757	10693.8301166	6780173.67429	6780173.57735	0.0001691
sat[2]	-4560177.15788	5018099.90164	10701.2198179	6780095.385	6780095.29282	0.0001649
sat[3]	-4093058.2918	5405860.33259	10701.0466972	6780009.57255	6780009.49247	0.0001537
sat[4]	-3625258.2508	5730201.18393	10695.958275	6780082.14177	6780082.05799	0.0001572
sat[5]	-3098232.9147	6031501.84052	10698.7829766	6780055.5276	6780055.4471	0.0001541
sat[6]	-2859313.10828	6148629.3462	10702.7337389	6779970.60294	6779970.49298	0.0001801
sat[7]	-2297855.13559	6379765.98978	10698.2191451	6780014.08664	6780013.98258	0.0001752
sat[8]	-1754650.96048	6550043.9207	10693.8771693	6780105.39886	6780105.31688	0.0001555
sat[9]	-1161638.81274	6680726.40687	10695.6983227	6779975.89594	6779975.80207	0.0001664
sat[10]	-596974.673117	6754473.83852	10707.4763313	6779837.99069	6779837.90872	0.0001555
sat[11]	-28390.8866385	6780846.80511	10706.1730925	6779854.29619	6779854.19937	0.000169
sat[12]	578393.725043	6756119.53561	10695.5018483	6779865.09683	6779865.01892	0.0001516
sat[13]	1143085.30596	6683781.8166	10701.0407604	6780010.06669	6780010.01175	0.0001273
sat[14]	1404534.22283	6636194.067	10702.6480179	6782552.2133	6782551.81293	0.0003436
sat[15]	1991989.04478	6484035.10303	10694.4846962	6782580.06231	6782579.65725	0.0003456
sat[16]	2528425.70957	6293944.74067	10698.0009257	6782479.58089	6782479.13894	0.000361
sat[17]	2598643.84172	6265110.12697	10694.7724279	6782461.15034	6782460.69557	0.0003662
sat[18]	3114681.72396	6025125.88777	10702.6445561	6782521.34175	6782520.88373	0.0003675
